Question,Answer,Category
What is the minimum CGPA required to graduate with a Third Class Honours from FUOYE,The minimum CGPA required to graduate with a Third Class Honours from FUOYE is not specified in the passage,Graduation Requirements
What is the minimum CGPA required to graduate with a Pass from FUOYE,The minimum CGPA required to graduate with a Pass from FUOYE is not specified in the passage,Graduation Requirements
What is the name of the degrees awarded by FUOYE,The Bachelor of Engineering (B.Eng) degree and the Bachelor of Sciences (B.Sc) degree,Degrees
What are the possible classifications of the degrees awarded by FUOYE,The possible classifications of the degrees awarded by FUOYE are First Class Honours; Second Class Honours (Upper Division); Second Class Honours (Lower Division); Third Class Honours; and Pass,Degrees
What is the CGPA requirement for First Class Honours,A First Class Honours is awarded to students with a CGPA of 4.50 to 5.00 at Federal University Oye-Ekiti,University Structure
What is the CGPA requirement for Second Class Honours (Upper Division),A Second Class Honours (Upper Division) is awarded to students with a CGPA of 3.50 to 4.49 at Federal University Oye-Ekiti,University Structure
What is the CGPA requirement for Second Class Honours (Lower Division),A Second Class Honours (Lower Division) is awarded to students with a CGPA of 2.40 to 3.49 at Federal University Oye-Ekiti,University Structure
What is the CGPA requirement for Third Class Honour,A Third Class Honour is awarded to students with a CGPA of 1.50 to 2.39 at Federal University Oye-Ekiti,University Structure
What is the CGPA requirement for Pass,A Pass is awarded to students with a CGPA below 1.50 at Federal University Oye-Ekiti,University Structure
What is the minimum CGPA for a student to be awarded a degree,A student is awarded a degree at Federal University Oye-Ekiti with a minimum CGPA of 1.50,University Structure
What is the maximum CGPA for a student to be awarded a First Class Honours degree,A student is awarded a First Class Honours degree at Federal University Oye-Ekiti with a maximum CGPA of 5.00,University Structure
What is the minimum CGPA for a student to be awarded a Second Class Honours (Upper Division) degree,A student is awarded a Second Class Honours (Upper Division) degree at Federal University Oye-Ekiti with a minimum CGPA of 3.50,University Structure
What is the minimum CGPA for a student to be awarded a Second Class Honours (Lower Division) degree,A student is awarded a Second Class Honours (Lower Division) degree at Federal University Oye-Ekiti with a minimum CGPA of 2.40,University Structure
What is the minimum CGPA for a student to be awarded a Third Class Honour degree,A student is awarded a Third Class Honour degree at Federal University Oye-Ekiti with a minimum CGPA of 1.50,University Structure
What is the grading system of FUOYE,FUOYE operates a 5-point system with the breakdown of the continuous assessment: 70-100% A= Excellent 5.0,Teaching Methods
What are the possible grades at FUOYE,The possible grades at FUOYE are: A= Excellent 5.0; B= Very Good 4.0; C = Good 3.0; D = Satisfactory 2.0; E = Pass 1.00; F = Failure,Examinations and Results
What is the minimum pass grade at FUOYE,The minimum pass grade at FUOYE is 1.00 or E,Graduation Requirements
What is the maximum fail grade at FUOYE,The maximum fail grade at FUOYE is 39% or F,Graduation Requirements
What is the highest possible grade at FUOYE,The highest possible grade at FUOYE is A= Excellent 5.0,General Information
What is the lowest possible grade at FUOYE,The lowest possible grade at FUOYE is F = Failure,University Structure
What is the grading system of FUOYE continuous assessment,The breakdown of the continuous assessment at FUOYE is as follows: 70-100% A= Excellent 5.0; 60-69% B= Very Good 4.0; 50-59% C = Good 3.0; 45-49% D = Satisfactory 2.0; 40-44% E = Pass 1.00; 1.00-39% F = Failure,Examinations and Results
What does the letter A represent in FUOYE grading system,The letter A in FUOYE grading system represents Excellent with a score of 5.0,Examinations and Results
What does the letter B represent in FUOYE grading system,The letter B in FUOYE grading system represents Very Good with a score of 4.0,Examinations and Results
What does the letter C represent in FUOYE grading system,The letter C in FUOYE grading system represents Good with a score of 3.0,Examinations and Results
What does the letter D represent in FUOYE grading system,The letter D in FUOYE grading system represents Satisfactory with a score of 2.0,Examinations and Results
What does the letter E represent in FUOYE grading system,The letter E in FUOYE grading system represents Pass with a score of 1.00,Examinations and Results
What does the letter F represent in FUOYE grading system,The letter F in FUOYE grading system represents Failure,University Structure
What percentage does the Continuous Assessment Test contribute to the final score,The Continuous Assessment Test contributes 35% to the final score,Examinations and Results
What percentage does the Examination contribute to the final score,The Examination contributes 60% to the final score,Examinations and Results
What percentage does Attendance contribute to the final score,Attendance contributes 5% to the final score,Examinations and Results
What percentage is the total score,The total score is 100%,Examinations and Results
What is the sum of the Continuous Assessment Test and Examination,The sum of the Continuous Assessment Test and Examination is 95%,Examinations and Results
What is the minimum score required to pass,The passage does not provide information on the minimum score required to pass,General Information
Is the Continuous Assessment Test more important than the Examination,No; the Continuous Assessment Test contributes 35% and the Examination contributes 60%,Examinations and Results
Is the Examination more important than the Continuous Assessment Test,Yes; the Examination contributes 60% and the Continuous Assessment Test contributes 35%,Examinations and Results
Does the Attendance have any impact on the final score,Yes; Attendance contributes 5% to the final score,Examinations and Results
The minimum score required to pass,No; the passage does not provide information on the minimum score required to pass,General Information
The weightage of the Continuous Assessment Test and Examination,Yes; the Continuous Assessment Test contributes 35% and the Examination contributes 60%,Examinations and Results
The total score,Yes; the total score is 100%,Administrative and Staff
The sum of the Continuous Assessment Test and Examination,Yes; the sum of the Continuous Assessment Test and Examination is 95%,Examinations and Results
The importance of the Continuous Assessment Test and Examination,Yes; the Continuous Assessment Test contributes 35% and the Examination contributes 60%,Examinations and Results
The importance of Attendance,Yes; Attendance contributes 5% to the final score,Achievements and Recognition
The distribution of scores,Yes; the passage provides information about the distribution of scores as Continuous Assessment Test = 35%; Examination = 60%; Attendance = 5% and TOTAL = 100%,Examinations and Results
The categories of the scores,Yes; the passage provides information about the categories of the scores as Continuous Assessment Test; Examination; Attendance and TOTAL,Examinations and Results
The distribution of the Continuous Assessment Test,Yes; the Continuous Assessment Test contributes 35% to the final score,Examinations and Results
The distribution of the Examination,Yes; the Examination contributes 60% to the final score,Examinations and Results
The distribution of Attendance,Yes; Attendance contributes 5% to the final score,Examinations and Results
What language is used for teaching,English language is used for instructions at FUOYE,Teaching Methods
What are some of the teaching methods used in the university,Some of the teaching methods used in the university include lectures; tutorials; laboratory practical sessions; assignments; term papers; seminar presentations; prescribed self-study; design projects; and group work,Teaching Methods
Is FUOYE a Nigerian university,Yes;FUOYE is a Nigerian university,University Structure
What is the name of the program,Teaching Methods Students,Teaching Methods
What is the I.T,  it is also known as Industrial Training or SIWES,Industrial Training
What is the Industrial Training aspect of the programme,The Industrial training aspect of the programme is divided into two parts; Students WorkExperience Programme (SWEP) and the Students Industrial Work Experience Scheme (SIWES). The Students WorkExperience Programme (SWEP) is held at the end of the 200-Level and 300 level just during the end of session break. It is carried out on the Departmental and Faculty Laboratory and Workshop. The Student Industrial Work Experience Scheme is held during the whole second Semester at the 400 level. This is to expose the students to real life situations in engineering or related establishment within and outside the country,Industrial Training
What is SWEP,SWEP stands for Students WorkExperience Programme; it is a part of the Industrial training aspect of the programme. It is held at the end of the 200-Level and 300 level just during the end of session break. It is carried out on the Departmental and Faculty Laboratory and Workshop,University Structure
What is SIWES,SIWES stands for Students Industrial Work Experience Scheme; it is a part of the Industrial training aspect of the programme. It is held during the whole second Semester at the 400 level. This is to expose the students to real life situations in engineering or related establishment within and outside the country,University Structure
When is SWEP held,SWEP is held at the end of the 200-Level and 300 level just during the end of session break,Administrative and Staff
Where is SWEP carried out,SWEP is carried out on the Departmental and Faculty Laboratory and Workshop,Faculty
When is SIWES held,SIWES is held during the whole second Semester at the 400 level,University Structure
What is the purpose of SIWES,The purpose of SIWES is to expose the students to real life situations in engineering or related establishment within and outside the country,Teaching Methods
What is the location of FUOYE,FUOYE is located in Nigeria at Ekiti State with multiple campuses around the state,Campus
What is the name of the University,The Federal University Oye-Ekiti is a university located in Nigeria at Ekiti State with multiple campuses around the state,Campus
What is the abbreviation of the University,The abbreviation of the university is FUOYE,University Structure
What are the entry requirements for UTME for Science and Engineering at FUOYE,Admission to 100 levels through UTME for Science and Engineering requires results in subjects such as English Language; Mathematics;Physics; and Chemistry. To be eligible for admission; candidate must have Ordinary Level of General Certificate of Education (GCE); Senior School Certificates Examination (SSCE) or itsequivalents with at least five credit passes; including English Language; Mathematics; Physics;Chemistry and one science or social science subject at not more than two (2) sittings. The Federal University; Oye-ekiti (FUOYE)  accepts result from only Government approved examination bodies such as  WAEC; NECO; and NABTEB or its equivalents,University Structure
What are the acceptable results for UTME for Science and Engineering at FUOYE,The Federal University; Oye-ekiti (FUOYE)  accepts result from only Government approved examination bodies such as  WAEC; NECO; and NABTEB or its equivalents,University Structure
What is the maximum number of sittings allowed for UTME for Science and Engineering at FUOYE,To be eligible for admission; candidate must have Ordinary Level of General Certificate of Education (GCE); Senior School Certificates Examination (SSCE) or itsequivalents with at least five credit passes; including English Language; Mathematics; Physics;Chemistry and one science or social science subject at not more than two (2) sittings,Academic Programs
What are the subjects required for UTME for Science and Engineering at FUOYE,Admission to 100 levels through UTME for Science and Engineering requires results in subjects such as English Language; Mathematics;Physics; and Chemistry,Teaching Methods
What is the minimum number of credit passes required for UTME for Science and Engineering at FUOYE,To be eligible for admission; candidate must have Ordinary Level of General Certificate of Education (GCE); Senior School Certificates Examination (SSCE) or itsequivalents with at least five credit passes,Graduation Requirements
What are the required subjects for English Language for UTME for Science and Engineering at FUOYE,English Language is one of the required subjects for UTME for Science and Engineering at FUOYE,Teaching Methods
What are the required subjects for Mathematics for UTME for Science and Engineering at FUOYE,Mathematics is one of the required subjects for UTME for Science and Engineering at FUOYE,Teaching Methods
What is the name of the University,The name of the university is Federal University Oye-Ekiti;Popularly referred to as FUOYE,University Structure
What are the Direct Entry requirements for Science or Engineering,To qualify for placement into the degree programme through Direct Entry to 200 Level For Science or Engineering;candidates must first satisfy 'O' level requirements as applicable to UTME candidates and they are expected to meet the following requirements: 1. Obtain two 'A' level passes from Physics; Chemistry and Mathematics. 2. Obtain National Diploma (ND) Upper Credit in their respective field,Graduation Requirements
What are the 'O' level requirements for UTME candidates,UTME candidates are expected to meet the following 'O' level requirements: 1. Obtain at least five credit passes in English Language; Mathematics; Physics; Chemistry and any other science subject from WAEC; NECO or NABTEB,Graduation Requirements
What are the A' level subjects required for Direct Entry into Science or Engineering,Candidates applying for Direct Entry into Science or Engineering are required to have two 'A' level passes from Physics; Chemistry and Mathematics,University Structure
What is the required credit level for National Diploma (ND) for Direct Entry into Science or Engineering,Candidates applying for Direct Entry into Science or Engineering with National Diploma (ND) must have an Upper Credit,University Structure
What is the category of the University,The category of the university is a Federal University,University Structure
What is the name of the campuses of the University,The University has multiple campuses around Ekiti State; Oye-Ekiti campus; Ikole campus; Ayegbaju campus.,Campus
What are the Direct Entry requirements for 200 Level Science or Engineering,Candidates must first satisfy 'O' level requirements as applicable to UTME candidates and they are expected to meet the following requirements: 1. Obtain two 'A' level passes from Physics; Chemistry and Mathematics. 2. Obtain National Diploma (ND) Upper Credit in their respective field,Graduation Requirements
What is the name of the degrees offered for Science or Engineering,The names of the degrees offered for Science or Engineering are not specified in the passage,Degrees
What is the required credit level for O' level subjects for UTME candidates,UTME candidates are expected to have at least five credit passes in English Language; Mathematics; Physics; Chemistry and any other science subject from WAEC; NECO or NABTEB,Teaching Methods
What is the name of the degrees for Science or Engineering,The names of the degrees for Science or Engineering are not specified in the passage,Degrees
What is Ekiti,Ekiti State is located in Nigeria,University Structure
What is the admission process for FUOYE,Prospective students must possess the relevant credits at O' Level and pass both the UTME and Post-UTME screening exercises to be admitted into FUOYE,Examinations and Results
What are the necessary fees to be paid for FUOYE admission,Students must pay all the necessary fees to be admitted into FUOYE,Fees and Finance
What is the character requirement for FUOYE admission,Students must be of good character to be admitted into FUOYE,General Information
What is the process of course registration at FUOYE,After due process of screening at the faculty and departmental offices; the candidate(s) will be provided with the list of courses for registration purposes at FUOYE,Registration
What is the requirement for O' Level credits at FUOYE,Prospective students must possess the relevant credits at O' Level to be admitted into FUOYE,Graduation Requirements
What is the requirement for UTME at FUOYE,Prospective students must pass the UTME to be admitted into FUOYE,Graduation Requirements
What is the requirement for Post-UTME at FUOYE,Prospective students must pass the Post-UTME screening exercises to be admitted into FUOYE,Examinations and Results
What is the role of NUC in FUOYE admission,Prospective students must follow the National Universities Commission (NUC) and the FUOYE admission procedures to be admitted into FUOYE,University Structure
What is the location of FUOYE,FUOYE is a university located in Nigeria at Ekiti State with multiple campuses around the state,Campus
What is the method of registering courses at FUOYE,Course registration at FUOYE is done on-line at the beginning of each session. After the on-line registration; a student is required to visit their level adviser to complete the registration process,Registration
What happens if a student fails to register on time at FUOYE,If a student fails to register for courses before the stipulated deadline given by the university; they may lose that session or voluntarily withdraw from the programme,University Structure
What is the penalty for re-registering for a course already passed at FUOYE,A student cannot re-register for a course already passed at FUOYE,Registration
Who is responsible for completing the registration process after on-line registration at FUOYE,After on-line registration; a student is required to visit their level adviser to complete the registration process at FUOYE,Registration
What is the purpose of registering courses at FUOYE,The purpose of registering courses at FUOYE is to ensure that students take the required courses for their programme and level,Teaching Methods
What is the popular name of the University,The popular name of the university is Federal University Oye-Ekiti; Popularly referred to as FUOYE,University Structure
What is the duration of Science programmes at FUOYE,The duration of Science programmes at FUOYE is five (5) years,Academic Programs
What is the duration of Engineering programmes at FUOYE,The duration of Engineering programmes at FUOYE is five (5) years,Academic Programs
What is the duration of Science programmes at FUOYE for students admitted with O'level certificates,The duration of Science programmes at FUOYE for students admitted with O'level certificates or equivalent with UTME is five (5) years,Degrees
What is the duration of Engineering programmes at FUOYE for students admitted with O'level certificates,The duration of Engineering programmes at FUOYE for students admitted with O'level certificates or equivalent with UTME is five (5) years,Degrees
What is the duration of Science programmes at FUOYE for students admitted with ordinary diplomas,The duration of Science programmes at FUOYE for students admitted with ordinary diplomas is four (4) years,Academic Programs
What is the duration of Engineering programmes at FUOYE for students admitted with ordinary diplomas,The duration of Engineering programmes at FUOYE for students admitted with ordinary diplomas is four (4) years,Degrees
What is the duration of Science programmes at FUOYE for students admitted with ordinary diplomas, starting at the second year of the programme;The duration of Science programmes at FUOYE for students admitted with ordinary diplomas; starting at the second year of the programme; is four (4) years,Academic Programs
What is the duration of Engineering programmes at FUOYE for students admitted with ordinary diplomas, starting at the second year of the programme;The duration of Engineering programmes at FUOYE for students admitted with ordinary diplomas; starting at the second year of the programme; is four (4) years,Academic Programs
What is the deadline for dropping a course,The deadline for dropping a course is at least six weeks to the commencement of examinations in the semester,Graduation Requirements
How does a student drop a course,A student drops a course by making a request in writing; stating why he/she wishes to drop the course(s); to the Vice Chancellor; through the Dean of Faculty and Head of Department. Such requests typically pass through the department and faculty boards before being collated by the Academic Affairs unit for University Senate approval,Faculty
What is the process for dropping a course,A student drops a course by making a request in writing; stating why he/she wishes to drop the course(s); to the Vice Chancellor; through the Dean of Faculty and Head of Department. Such requests typically pass through the department and faculty boards before being collated by the Academic Affairs unit for University Senate approval. This process ensures that the request is properly reviewed and approved by the relevant authorities,University Structure
Who should a student contact to drop a course,A student should contact the Vice Chancellor; through the Dean of Faculty and Head of Department; to drop a course,Faculty
Can a student drop a course after the registration deadline,Yes; a student can drop a course after the registration deadline but it must be done at least six weeks to the commencement of examinations in the semester,Registration
What is the procedure for dropping a course after the registration deadline,A student drops a course by making a request in writing; stating why he/she wishes to drop the course(s); to the Vice Chancellor; through the Dean of Faculty and Head of Department. Such requests typically pass through the department and faculty boards before being collated by the Academic Affairs unit for University Senate approval,Faculty
What is the role of the Vice Chancellor in dropping a course,The Vice Chancellor is the final authority to approve a student's request to drop a course. The student's request must be made in writing; stating why he/she wishes to drop the course(s); and must pass through the Dean of Faculty and Head of Department before reaching the Vice Chancellor,University Structure
What is the role of the Dean of Faculty in dropping a course,The Dean of Faculty is responsible for receiving the student's request to drop a course from the Head of Department and passing it on to the Vice Chancellor,Faculty
What is the role of the Head of Department in dropping a course,The Head of Department is responsible for receiving the student's request to drop a course and passing it on to the Dean of Faculty,Faculty
What is the role of the Academic Affairs unit in dropping a course,The Academic Affairs unit is responsible for collating all approved requests to drop a course and presenting them to the University Senate for final approval,University Structure
What is the role of the University Senate in dropping a course,The University Senate is the final authority to approve a student's request to drop a course,University Structure
What is the importance of the University Senate in dropping a course,The University Senate's approval is necessary to ensure that the student's request to drop a course is properly reviewed and approved by the relevant authorities,University Structure
What is the minimum Credit Units required to graduate from FUOYE if admitted through UTME,A student admitted into the Department through UTME is required to accumulate a minimum of 200 Credit Units to graduate from FUOYE,Graduation Requirements
What is the maximum duration to graduate from FUOYE if admitted through UTME,A student admitted into the Department through UTME has a maximum of seven (7) years to graduate from FUOYE,Faculty
What is the minimum Credit Units required to graduate from FUOYE if admitted through Direct Entry,A student admitted into the Department through Direct Entry is required to accumulate a minimum of 156 Credit Units to graduate from FUOYE,Graduation Requirements
What is the maximum duration to graduate from FUOYE if admitted through Direct Entry,A student admitted into the Department through Direct Entry has a maximum of six (6) years to graduate from FUOYE,University Structure
What is the minimum CGPA required to graduate from FUOYE,A student must obtain a CGPA of not less than 1.50 to graduate from FUOYE,Graduation Requirements
What is the requirement for passing all courses in FUOYE,In order to graduate from Federal University; Oye-ekiti (FUOYE) with a degree; students must have passed all core/compulsory courses and electives,Graduation Requirements
What is the name of the University,The name of the university is Federal University Oye-Ekiti; Popularly referred to as FUOYE,University Structure
What is Total Credit Points (TCP),Total Credit Points (TCP) is a sum of the products of the course units and rating in each course for a particular single semester,Teaching Methods
What is the significance of Total Credit Points (TCP),Total Credit Points (TCP) is significant in the calculation of the cumulative grade point average of a student in a university,University Structure
How is Total Credit Points (TCP) calculated,Total Credit Points (TCP) is calculated by multiplying the course units and rating in each course for a particular single semester and summing up the result,Teaching Methods
What is the rating in Total Credit Points (TCP),The rating in Total Credit Points (TCP) refers to the score assigned to each course in a university,University Structure
What is the course unit in Total Credit Points (TCP),The course unit in Total Credit Points (TCP) refers to the number of units assigned to each course in a university,University Structure
What is the relationship between Total Credit Points (TCP) and a semester,Total Credit Points (TCP) is calculated for a particular single semester,Teaching Methods
What is a semester,A semester is a period of time in a university where students take a set of courses,University Structure
What is the difference between Total Credit Points (TCP) and cumulative grade point average,Total Credit Points (TCP) is a value calculated for a particular single semester while cumulative grade point average is a value calculated for all semesters in a university,University Structure
What is cumulative grade point average,Cumulative grade point average is a value calculated by dividing the Total Credit Points (TCP) by the total number of units taken by a student in all semesters in a university,University Structure
What is the relationship between Total Credit Points (TCP) and units in a course,Total Credit Points (TCP) is calculated by multiplying the course units and rating in each course,Teaching Methods
What is the relationship between Total Credit Points (TCP) and rating in a course,Total Credit Points (TCP) is calculated by multiplying the course units and rating in each course,Teaching Methods
What is the maximum value of Total Credit Points (TCP) for a semester,The maximum value of Total Credit Points (TCP) for a semester is determined by the total number of units and rating of courses taken by a student in that semester,Degrees
What is the minimum value of Total Credit Points (TCP) for a semester,The minimum value of Total Credit Points (TCP) for a semester is zero,Degrees
What is the unit of Total Credit Points (TCP),The unit of Total Credit Points (TCP) is points,Teaching Methods
What is the relationship between Total Credit Points (TCP) and grade point average,Total Credit Points (TCP) is used in the calculation of grade point average,Teaching Methods
What is the formula for calculating Total Credit Points (TCP),Total Credit Points (TCP) is calculated by summing up the products of the course units and rating in each course for a particular single semester,Teaching Methods
What is the relationship between Total Credit Points (TCP) and a student,Total Credit Points (TCP) is used in the calculation of the cumulative grade point average of a student in a university,University Structure
What is the Total Credit Unit,The Total Credit Unit (TCU) is the summation of credit units on all courses registered by a student in a particular semester,Academic Programs
What is the credit unit of a course,The credit unit of a course is the measure of the weight of a course in relation to other courses,Teaching Methods
What is the credit unit of a semester,The credit unit of a semester is the summation of credit units on all courses registered by a student in that semester,Faculty
What is the total number of courses in a semester,The total number of courses in a semester is the number of courses registered by a student in that semester,Faculty
What is the total number of semesters ,The total number of semesters is 2 semesters for every level,University Structure
What is the location of the University,FUOYE is located in Nigeria at Ekiti State with multiple campuses around the state,Campus
What is the type of the University, From the name you should have been able to know that is a Federal University now; Now for a serious question are you daft?,University Structure
What is the name of the state where the University is located,The name of the state where the university is located is Ekiti State,University Structure
What is the name of the country where the University is located,The name of the country where the university is located is Nigeria,Campus
What is the name of the continent where the University is located, The University is located in Nigeria; Nigeria is a country in the continent of Africa,Campus
What is the definition of GPA,GPA is the abbreviation for Grade Point Average; which is calculated by dividing the total credit points earned in a semester by the total credit units taken,Degrees
What is the highest GPA that can be earned,"The highest GPA that can be earned is 5.0; which is achieved by earning grade ""A"" in every course taken during the semester",Degrees
What is the formula for calculating GPA,GPA is calculated by dividing the total credit points (TCP) by the total credit units (TCU),Teaching Methods
What is the meaning of credit points,Credit points are the numerical values assigned to each letter grade earned in a course,Teaching Methods
What is the meaning of credit units,Credit units are the numerical values assigned to each course taken in a semester,Teaching Methods
What is the meaning of total credit points,Total credit points (TCP) is the sum of all credit points earned in a semester,Degrees
What is the meaning of total credit units,Total credit units (TCU) is the sum of all credit units taken in a semester,University Structure
What is the minimum GPA required for a student to be in good academic standing,The minimum GPA required for a student to be in good academic standing is not specified in the passage,Academic Programs
What is the minimum GPA required for a student to graduate,The minimum GPA required for a student to graduate is not specified in the passage,Graduation Requirements
"What is the meaning of grade ""A""","Grade ""A"" is the highest letter grade that can be earned in a course""",University Structure
What is the meaning of letter grade,Letter grade is the symbol used to represent a student's academic performance in a course,University Structure
What is the minimum letter grade required for a student to earn credit points,The minimum letter grade required for a student to earn credit points is not specified in the passage,Graduation Requirements
What is the maximum number of credit units a student can take in a semester,The maximum number of credit units a student can take in a semester is not specified in the passage,University Structure
What is the minimum number of credit units a student must take in a semester,The minimum number of credit units a student must take in a semester is not specified in the passage,Graduation Requirements
What is the meaning of semester,Semester is a specific period of time during which academic courses are offered and students attend classes,Academic Programs
What is the meaning of academic year,Academic year is a period of time consisting of two semesters during which academic courses are offered and students attend classes,Academic Programs
What is the name of the state where FUOYE is located,FUOYE is located in Ekiti State;Nigeria,University Structure
What is the meaning of university,University is an institution of higher education that offers undergraduate and graduate degree programs,Academic Programs
What is the meaning of campus,Campus is a specific location where the buildings and grounds of a university or college are situated,Campus
What is Cumulative Credit Point (CCP),CCP is the summation of total credit points across all semesters that a student registered till date,University Structure
How is CCP calculated,CCP is calculated by adding up all the credit points a student has earned in all the semesters they have registered for,Degrees
What does CCP indicate,CCP indicates the total credit points earned by a student in all the semesters they have registered for,Degrees
Who uses CCP,CCP is used by the university to track the academic progress of students,Academic Programs
Is CCP the only metric used to track academic progress,No;CCP is one of the metrics used to track academic progress,Academic Programs
What are the other metrics used to track academic progress,Grade Point Average (GPA);Academic standing,Academic Programs
What is GPA,GPA is a measure of a student's academic performance in a particular semester,Academic Programs
What is academic standing,Academic standing is a measure of a student's academic progress over multiple semesters,Academic Programs
What is Cumulative Credit Unit (CCU),CCU is the summation of total course units across all semesters that a student registered till date,University Structure
How is Cumulative Credit Unit (CCU) calculated,CCU is calculated by summing up all course units registered by a student across all semesters,Teaching Methods
What is the purpose of Cumulative Credit Unit (CCU),The purpose of CCU is not explicitly stated in the passage;however; it can be inferred that it is used to track a student's academic progress,University Structure
Is there a limit to Cumulative Credit Unit (CCU),The passage does not provide information on whether there is a limit to CCU,General Information
Who is eligible to have a Cumulative Credit Unit (CCU),All students registered in the university are eligible to have a CCU,Faculty
What is the unit of Cumulative Credit Unit (CCU),The unit of CCU is not explicitly stated in the passage;however; it can be inferred that it is in course units,Teaching Methods
What is the Cumulative Credit Point Average (CGPA),CGPA is the summation of TCPs for all semesters (CCP) divided by summation of all TCUs (CCU) and it ranges from 0 - 5,General Information
What is the range of CGPA,CGPA obtainable ranges from 0 - 5,Degrees
What is CGPA,CGPA is the summation of the average of GPAs for all semesters,University Structure
What is CCP,CCP stands for Cumulative Credit Point,Achievements and Recognition
What is CCU,CCU stands for Cumulative Total Credit Units,Achievements and Recognition
What is the relationship between TCP and CCP,TCP is added to CCP to obtain CGPA,General Information
What is the relationship between TCU and CCU,TCU is added to CCU to obtain CGPA,General Information
What does the Examination Unit handle,The Examination Unit is responsible for setting; conducting; evaluating; moderating and issuing results for semester examinations;tests; mid-semester examinations and projects for the Department of Computer Science at Federal University Oye-Ekiti,Examinations and Results
Who moderates the examination questions,The Head of Department moderates the questions set by each lecturer for semester examinations;tests; mid-semester examinations and projects,Examinations and Results
What is the role of the external examiner,The external examiner moderates the questions set by each lecturer for final year semester examinations; tests and mid-semester examinations; and assesses the final year students projects,Examinations and Results
What happens to the questions after they are moderated by the external examiner,The Department is obliged to accept the modifications to the questions by the external examiner,Policies and Procedures
What is the role of the Vice-Chancellor,The Vice-Chancellor receives the report of the external examiner regarding his observations during the moderation exercise,Administrative and Staff
Who is responsible for drawing questions in the course taught,The lecturer(s) of each course is responsible for drawing questions in the course taught,Teaching Methods
What are the examination papers subjected to,Examination papers are subjected to internal moderation,Examinations and Results
What are the answer scripts subjected to,Answer scripts are subjected to internal moderation,Policies and Procedures
What is the format of the examination questions,The format of the examination questions is stipulated departmental format,Examinations and Results
Who is responsible for internal moderation of examinations,The lecturer(s) of each course is responsible for internal moderation of examinations,Administrative and Staff
What is the category for the question,The category for the question is the same as the answer,General Information
Who is responsible for internal moderation of answer scripts,The lecturer(s) of each course is responsible for internal moderation of answer scripts,Teaching Methods
Who conducts the semester examinations at FUOYE,Semester examinations at FUOYE are conducted by the University; including the selection and distribution of invigilators and examination venues under the supervision of a University appointed Chairman of Examination Committee whose members are selected by the University,University Structure
What is the role of the Chairman of Examination Committee at FUOYE,The role of the Chairman of Examination Committee at FUOYE is to supervise the conduct of semester examinations; including the selection and distribution of invigilators and examination venues,Examinations and Results
Who selects the members of the Examination Committee at FUOYE,The members of the Examination Committee at FUOYE are selected by the University,Faculty
What is the role of the Examination Committee at FUOYE,The Examination Committee at FUOYE is responsible for the conduct of semester examinations; including the selection and distribution of invigilators and examination venues under the supervision of a University appointed Chairman,Examinations and Results
Who selects and distributes invigilators and examination venues at FUOYE,Invigilators and examination venues at FUOYE are selected and distributed by the University,Examinations and Results
Where are FUOYE semester examinations conducted,FUOYE semester examinations are conducted at venues selected and distributed by the University,Examinations and Results
What is the role of the University in FUOYE semester examinations,The University is responsible for the conduct of semester examinations at FUOYE; including the selection and distribution of invigilators and examination venues under the supervision of a University appointed Chairman of Examination Committee whose members are selected by the University,University Structure
Who is responsible for grading the scripts?,The scripts are graded by the lecturer of the course,Teaching Methods
What is the role of the HOD in the grading process?,The HOD ensures that the scripts are vetted by himself or any other senior colleagues in the department,Administrative and Staff
What is the level of seniority of the colleague that vets the scripts?,The colleague that vets the scripts must be senior to the examiner of the course,Faculty
Does the grading process apply to all courses at all levels?,Yes; the grading process applies to all courses at all levels including the final year,Teaching Methods
What documents should the examiner ensure are forwarded to the HOD?,The examiner should ensure that the marking scheme and model answers are forwarded to the HOD,Examinations and Results
What is the name of the meeting where the results are discussed?,The name of the meeting is the Departmental Board of Examiners,Examinations and Results
Who is the chairman of the Departmental Board of Examiners?,The Head of Department is the chairman of the Departmental Board of Examiners,Faculty
What is the rule for consensus in the Departmental Board of Examiners?,Consensus is the rule in the Departmental Board of Examiners,Faculty
What happens if consensus is not possible in the Departmental Board of Examiners?,If consensus is not possible; the matter is passed on to the Faculty Board of Examiners,Faculty
What is the name of the Faculty Board of Examiners?,The name of the Faculty Board of Examiners is not specified in the passage,Faculty
What is the role of the Faculty Board of Examiners in the grading process?,The Faculty Board of Examiners is responsible for resolving disputes in the grading process,Faculty
What is the rule of competence in the grading process?,The rule of competence refers to the requirement that the grading of scripts must be done with competence,Teaching Methods
What is the meaning of probity in the grading process?,Probity in the grading process refers to the requirement that the grading of scripts must be done with integrity,Teaching Methods
What is the meaning of integrity in the grading process?,Integrity in the grading process refers to the requirement that the grading of scripts must be done honestly and fairly,Teaching Methods
What is the Faculty Board of Examiners,The Faculty Board of Examiners is a body in Federal University Oye-Ekiti that consists of all examiners in the faculty,Faculty
What is the role of the Faculty Board of Examiners,The Faculty Board of Examiners in Federal University Oye-Ekiti ensures that all departments comply with Senate regulations on university examinations,Faculty
